,closeDateTime,customerCode,onTimeSolution
43237,1549033800,900995,S
43250,1549038720,900995,S
43223,1549040400,900995,N
43259,1549040520,900995,S
43248,1549045020,900995,S
43256,1549054380,900995,S
43161,1549246140,900995,S
43253,1549310220,900995,S
43252,1549310400,900995,S
43254,1549310640,900995,S
43238,1549315140,900995,S
43257,1549376760,900995,S
43175,1549389720,900995,N
43160,1549395840,900995,S
43190,1549400580,900995,N
43210,1549474080,900995,N
43154,1549478760,900995,S
43114,1549482960,900995,N
43246,1549486740,900995,N
43149,1549488360,900995,S
43164,1549570500,900995,N
43143,1549636260,900995,S
43158,1549644840,900995,S
43147,1549645440,900995,S
43163,1549652160,900995,N
43112,1549669680,900995,N
43227,1549907520,900995,N
43150,1549907820,900995,S
43186,1549915800,900995,N
43145,1549918620,900995,S
43137,1549921740,900995,S
43140,1549979220,900995,S
43155,1550079600,900995,N
43132,1550097240,900995,S
43135,1550098020,900995,S
43128,1550098440,900995,S
43139,1550098920,900995,S
43218,1550100960,900995,N
43224,1550102700,900995,N
43130,1550162160,900995,S
43153,1550169720,900995,N
43129,1550250540,900995,S
43255,1550251680,900995,N
43225,1550252580,900995,N
43124,1550253180,900995,S
43156,1550256000,900995,N
43229,1550278920,900995,N
43122,1550522760,900995,S
43121,1550592900,900995,S
43119,1550598960,900995,S
43258,1550608860,900995,N
43118,1550616900,900995,S
43100,1550681820,900995,S
43136,1550681940,900995,S
43104,1550684220,900995,S
43102,1550692500,900995,S
43144,1550707200,900995,N
43275,1550770500,900995,S
43273,1550770920,900995,S
43274,1550774220,900995,S
43272,1550777760,900995,S
43101,1550779560,900995,S
43133,1550780280,900995,N
43268,1550780880,900995,S
43106,1550856420,900995,S
43107,1550862300,900995,S
43260,1550875080,900995,S
43262,1550875200,900995,S
43148,1550876220,900995,N
43263,1551105480,900995,S
43264,1551105480,900995,S
43267,1551107100,900995,S
43266,1551110100,900995,S
43276,1551111780,900995,S
43280,1551125760,900995,S
